the_geom,whihs_lb,seq_id,muni_id,municipal,cal_years,tot_b,tot_lb,tot_lb_p,whi_b,aa_b,api_b,lat_b,oth_b,unk_b,whi_lb,aa_lb,api_lb,lat_lb,oth_lb,unk_lb,whi_p,aa_p,api_p,lat_p,oth_p,unk_p,whilhs_b,whihs_b,whisc_b,whibapl_b,whiunk_b,aalhs_b,aahs_b,aasc_b,aabapl_b,aaunk_b,apilhs_b,apihs_b,apisc_b,apibapl_b,apiunk_b,latlhs_b,laths_b,latsc_b,latbapl_b,latunk_b,othlhs_b,othhs_b,othsc_b,othbapl_b,othunk_b,unklhs_b,unkhs_b,unksc_b,unkbapl_b,unkunk_b,whilhs_lb,cartodb_id,whisc_lb,whibapl_lb,whiunk_lb,aalhs_lb,aahs_lb,aasc_lb,aabapl_lb,aaunk_lb,apilhs_lb,apihs_lb,apisc_lb,apibapl_lb,apiunk_lb,latlhs_lb,laths_lb,latsc_lb,latbapl_lb,latunk_lb,othlhs_lb,othhs_lb,othsc_lb,othbapl_lb,othunk_lb,unklhs_lb,unkhs_lb,unksc_lb,unkbapl_lb,unkunk_lb,whilhs_p,whihs_p,whisc_p,whibapl_p,whiunk_p,aalhs_p,aahs_p,aasc_p,aabapl_p,aaunk_p,apilhs_p,apihs_p,apisc_p,apibapl_p,apiunk_p,latlhs_p,laths_p,latsc_p,latbapl_p,latunk_p,othlhs_p,othhs_p,othsc_p,othbapl_p,othunk_p,unklhs_p,unkhs_p,unksc_p,unkbapl_p,unkunk_p
,205.000000,1,352,MAPC,2003,35778.000000,1778.000000,4.970000,24355.000000,3395.000000,3014.000000,4247.000000,708.000000,59.000000,965.000000,352.000000,179.000000,242.000000,38.000000,2.000000,3.960000,10.370000,5.940000,5.700000,5.370000,3.390000,845.000000,3895.000000,2209.000000,17391.000000,15.000000,439.000000,1102.000000,703.000000,1149.000000,2.000000,348.000000,515.000000,205.000000,1944.000000,2.000000,1375.000000,1571.000000,506.000000,795.000000,0.000000,107.000000,225.000000,107.000000,269.000000,0.000000,1.000000,0.000000,1.000000,1.000000,56.000000,69.000000,1,91.000000,597.000000,3.000000,48.000000,121.000000,82.000000,100.000000,1.000000,32.000000,31.000000,17.000000,99.000000,0.000000,86.000000,89.000000,26.000000,41.000000,0.000000,3.000000,17.000000,8.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,8.170000,5.260000,4.120000,3.430000,20.000000,10.930000,10.980000,11.660000,8.700000,50.000000,9.200000,6.020000,8.290000,5.090000,0.000000,6.250000,5.670000,5.140000,5.160000,0.000000,2.800000,7.560000,7.480000,3.720000,0.000000,0.000000,0.000000,0.000000,0.000000,3.570000
,205.000000,2,352,MAPC,2004,34759.000000,1775.000000,5.110000,23126.000000,3313.000000,3220.000000,4183.000000,871.000000,46.000000,982.000000,317.000000,165.000000,248.000000,61.000000,2.000000,4.250000,9.570000,5.120000,5.930000,7.000000,4.350000,849.000000,3523.000000,2074.000000,16663.000000,17.000000,428.000000,1192.000000,571.000000,1122.000000,0.000000,303.000000,509.000000,228.000000,2179.000000,1.000000,1414.000000,1556.000000,442.000000,769.000000,2.000000,156.000000,320.000000,97.000000,296.000000,2.000000,0.000000,2.000000,1.000000,6.000000,37.000000,65.000000,2,99.000000,612.000000,1.000000,39.000000,135.000000,53.000000,90.000000,0.000000,16.000000,29.000000,8.000000,112.000000,0.000000,82.000000,100.000000,23.000000,43.000000,0.000000,13.000000,29.000000,5.000000,14.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,7.660000,5.820000,4.770000,3.670000,5.880000,9.110000,11.330000,9.280000,8.020000,0.000000,5.280000,5.700000,3.510000,5.140000,0.000000,5.800000,6.430000,5.200000,5.590000,0.000000,8.330000,9.060000,5.150000,4.730000,0.000000,0.000000,0.000000,0.000000,16.670000,2.700000
,207.000000,3,352,MAPC,2005,33795.000000,1849.000000,5.470000,21978.000000,3439.000000,3057.000000,4268.000000,1014.000000,39.000000,979.000000,348.000000,165.000000,282.000000,74.000000,1.000000,4.450000,10.120000,5.400000,6.610000,7.300000,2.560000,841.000000,3419.000000,2111.000000,15589.000000,18.000000,458.000000,1262.000000,627.000000,1089.000000,3.000000,300.000000,432.000000,181.000000,2139.000000,5.000000,1447.000000,1550.000000,469.000000,802.000000,0.000000,171.000000,382.000000,108.000000,351.000000,2.000000,5.000000,2.000000,3.000000,1.000000,28.000000,55.000000,3,114.000000,601.000000,2.000000,55.000000,132.000000,59.000000,101.000000,1.000000,22.000000,24.000000,11.000000,108.000000,0.000000,85.000000,122.000000,33.000000,42.000000,0.000000,13.000000,33.000000,8.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.540000,6.050000,5.400000,3.860000,11.110000,12.010000,10.460000,9.410000,9.270000,33.330000,7.330000,5.560000,6.080000,5.050000,0.000000,5.870000,7.870000,7.040000,5.240000,0.000000,7.600000,8.640000,7.410000,5.700000,0.000000,0.000000,0.000000,0.000000,0.000000,3.570000
,202.000000,4,352,MAPC,2006,34330.000000,1904.000000,5.550000,21841.000000,3590.000000,3163.000000,4688.000000,1029.000000,19.000000,970.000000,371.000000,185.000000,308.000000,69.000000,1.000000,4.440000,10.330000,5.850000,6.570000,6.710000,5.260000,914.000000,3383.000000,2107.000000,15420.000000,17.000000,477.000000,1294.000000,668.000000,1141.000000,10.000000,247.000000,435.000000,195.000000,2279.000000,7.000000,1624.000000,1741.000000,504.000000,819.000000,0.000000,179.000000,396.000000,123.000000,325.000000,6.000000,3.000000,1.000000,0.000000,1.000000,14.000000,68.000000,4,97.000000,598.000000,5.000000,58.000000,142.000000,71.000000,93.000000,7.000000,18.000000,20.000000,18.000000,129.000000,0.000000,92.000000,134.000000,38.000000,44.000000,0.000000,17.000000,23.000000,6.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7.440000,5.970000,4.600000,3.880000,29.410000,12.160000,10.970000,10.630000,8.150000,70.000000,7.290000,4.600000,9.230000,5.660000,0.000000,5.670000,7.700000,7.540000,5.370000,0.000000,9.500000,5.810000,4.880000,7.080000,0.000000,0.000000,0.000000,0.000000,0.000000,7.140000
,225.000000,5,352,MAPC,2007,34798.000000,1940.000000,5.580000,21828.000000,3615.000000,3428.000000,4750.000000,1130.000000,47.000000,1016.000000,367.000000,209.000000,274.000000,69.000000,5.000000,4.650000,10.150000,6.100000,5.770000,6.110000,10.640000,962.000000,3466.000000,2263.000000,15130.000000,7.000000,458.000000,1266.000000,669.000000,1221.000000,1.000000,250.000000,545.000000,185.000000,2445.000000,3.000000,1750.000000,1706.000000,468.000000,824.000000,2.000000,183.000000,404.000000,116.000000,425.000000,2.000000,0.000000,0.000000,1.000000,2.000000,44.000000,75.000000,5,118.000000,597.000000,1.000000,49.000000,161.000000,58.000000,98.000000,1.000000,21.000000,43.000000,16.000000,129.000000,0.000000,111.000000,81.000000,39.000000,42.000000,1.000000,9.000000,31.000000,6.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,7.800000,6.490000,5.210000,3.950000,14.290000,10.700000,12.720000,8.670000,8.030000,100.000000,8.400000,7.890000,8.650000,5.280000,0.000000,6.340000,4.750000,8.330000,5.100000,50.000000,4.920000,7.670000,5.170000,5.410000,0.000000,0.000000,0.000000,0.000000,0.000000,11.360000
,208.000000,6,352,MAPC,2008,34991.000000,1896.000000,5.420000,21968.000000,3659.000000,3654.000000,4800.000000,835.000000,75.000000,972.000000,340.000000,232.000000,300.000000,49.000000,3.000000,4.420000,9.290000,6.350000,6.250000,5.870000,4.000000,941.000000,3383.000000,2188.000000,15438.000000,18.000000,476.000000,1302.000000,670.000000,1206.000000,5.000000,235.000000,510.000000,217.000000,2687.000000,5.000000,1633.000000,1690.000000,550.000000,926.000000,1.000000,147.000000,299.000000,105.000000,283.000000,1.000000,0.000000,1.000000,2.000000,1.000000,71.000000,64.000000,6,110.000000,588.000000,2.000000,42.000000,120.000000,71.000000,105.000000,2.000000,16.000000,40.000000,21.000000,154.000000,1.000000,102.000000,124.000000,28.000000,45.000000,1.000000,10.000000,21.000000,6.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,6.800000,6.150000,5.030000,3.810000,11.110000,8.820000,9.220000,10.600000,8.710000,40.000000,6.810000,7.840000,9.680000,5.730000,20.000000,6.250000,7.340000,5.090000,4.860000,100.000000,6.800000,7.020000,5.710000,4.240000,0.000000,0.000000,0.000000,0.000000,0.000000,4.230000
,195.000000,7,352,MAPC,2009,33828.000000,1754.000000,5.190000,21150.000000,3820.000000,3480.000000,4726.000000,593.000000,59.000000,884.000000,348.000000,180.000000,303.000000,36.000000,3.000000,4.180000,9.110000,5.170000,6.410000,6.070000,5.080000,748.000000,3131.000000,1915.000000,15341.000000,15.000000,505.000000,1341.000000,635.000000,1335.000000,4.000000,191.000000,511.000000,148.000000,2628.000000,2.000000,1593.000000,1685.000000,533.000000,913.000000,2.000000,109.000000,189.000000,60.000000,233.000000,2.000000,0.000000,1.000000,0.000000,12.000000,46.000000,51.000000,7,85.000000,553.000000,0.000000,54.000000,118.000000,64.000000,112.000000,0.000000,20.000000,29.000000,5.000000,126.000000,0.000000,93.000000,124.000000,39.000000,46.000000,1.000000,12.000000,10.000000,2.000000,12.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,6.820000,6.230000,4.440000,3.600000,0.000000,10.690000,8.800000,10.080000,8.390000,0.000000,10.470000,5.680000,3.380000,4.790000,0.000000,5.840000,7.360000,7.320000,5.040000,50.000000,11.010000,5.290000,3.330000,5.150000,0.000000,0.000000,0.000000,0.000000,16.670000,2.170000
,186.000000,8,352,MAPC,2010,33307.000000,1783.000000,5.350000,20755.000000,3694.000000,3525.000000,4641.000000,652.000000,40.000000,893.000000,325.000000,204.000000,314.000000,46.000000,1.000000,4.300000,8.800000,5.790000,6.770000,7.060000,2.500000,706.000000,3066.000000,1733.000000,15237.000000,13.000000,483.000000,1267.000000,647.000000,1295.000000,2.000000,205.000000,481.000000,167.000000,2669.000000,3.000000,1599.000000,1599.000000,477.000000,965.000000,1.000000,81.000000,202.000000,81.000000,286.000000,2.000000,0.000000,4.000000,2.000000,5.000000,29.000000,45.000000,8,90.000000,571.000000,1.000000,55.000000,117.000000,56.000000,97.000000,0.000000,10.000000,32.000000,6.000000,155.000000,1.000000,103.000000,120.000000,32.000000,59.000000,0.000000,8.000000,16.000000,4.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.370000,6.070000,5.190000,3.750000,7.690000,11.390000,9.230000,8.660000,7.490000,0.000000,4.880000,6.650000,3.590000,5.810000,33.330000,6.440000,7.500000,6.710000,6.110000,0.000000,9.880000,7.920000,4.940000,6.290000,0.000000,0.000000,0.000000,0.000000,0.000000,3.450000
,121.000000,9,352,MAPC,2011,33804.000000,1756.000000,5.190000,19563.000000,3855.000000,3657.000000,5987.000000,355.000000,253.000000,814.000000,348.000000,230.000000,326.000000,26.000000,12.000000,4.160000,9.030000,6.290000,5.450000,7.320000,4.740000,572.000000,2297.000000,3292.000000,13318.000000,83.000000,510.000000,1095.000000,1358.000000,869.000000,23.000000,274.000000,389.000000,408.000000,2562.000000,24.000000,1900.000000,1924.000000,1218.000000,802.000000,142.000000,45.000000,65.000000,88.000000,156.000000,1.000000,7.000000,16.000000,14.000000,23.000000,153.000000,43.000000,9,157.000000,489.000000,4.000000,47.000000,105.000000,137.000000,57.000000,2.000000,12.000000,31.000000,25.000000,162.000000,0.000000,99.000000,117.000000,75.000000,25.000000,10.000000,6.000000,7.000000,7.000000,6.000000,0.000000,1.000000,2.000000,2.000000,1.000000,6.000000,7.520000,5.270000,4.770000,3.670000,4.820000,9.220000,9.590000,10.090000,6.560000,8.700000,4.380000,7.970000,6.130000,6.320000,0.000000,5.210000,6.080000,6.160000,3.120000,7.040000,13.330000,10.770000,7.950000,3.850000,0.000000,14.290000,12.500000,14.290000,4.350000,3.920000
,131.000000,10,352,MAPC,2012,33474.000000,1794.000000,5.360000,19337.000000,3777.000000,4051.000000,5911.000000,199.000000,128.000000,862.000000,317.000000,208.000000,382.000000,12.000000,6.000000,4.460000,8.390000,5.130000,6.460000,6.030000,4.690000,542.000000,1906.000000,3305.000000,13507.000000,76.000000,457.000000,986.000000,1417.000000,892.000000,25.000000,331.000000,407.000000,466.000000,2828.000000,19.000000,1840.000000,1611.000000,1265.000000,887.000000,308.000000,18.000000,40.000000,55.000000,82.000000,4.000000,8.000000,13.000000,15.000000,28.000000,45.000000,57.000000,10,173.000000,495.000000,6.000000,37.000000,85.000000,135.000000,56.000000,4.000000,23.000000,24.000000,28.000000,132.000000,1.000000,125.000000,106.000000,96.000000,37.000000,18.000000,2.000000,2.000000,4.000000,4.000000,0.000000,0.000000,0.000000,2.000000,3.000000,1.000000,10.520000,6.870000,5.230000,3.660000,7.890000,8.100000,8.620000,9.530000,6.280000,16.000000,6.950000,5.900000,6.010000,4.670000,5.260000,6.790000,6.580000,7.590000,4.170000,5.840000,11.110000,5.000000,7.270000,4.880000,0.000000,0.000000,0.000000,13.330000,10.710000,2.220000
,117.000000,11,352,MAPC,2013,33348.000000,1764.000000,5.290000,19373.000000,3764.000000,3881.000000,5472.000000,301.000000,482.000000,790.000000,347.000000,233.000000,337.000000,14.000000,36.000000,4.080000,9.220000,6.000000,6.160000,4.650000,7.470000,486.000000,1735.000000,3228.000000,13821.000000,103.000000,515.000000,913.000000,1368.000000,894.000000,74.000000,258.000000,370.000000,412.000000,2818.000000,23.000000,1639.000000,1489.000000,1321.000000,858.000000,165.000000,37.000000,49.000000,58.000000,142.000000,15.000000,14.000000,27.000000,22.000000,30.000000,357.000000,47.000000,11,156.000000,465.000000,5.000000,47.000000,96.000000,129.000000,70.000000,5.000000,24.000000,22.000000,30.000000,155.000000,2.000000,105.000000,94.000000,90.000000,28.000000,20.000000,0.000000,1.000000,2.000000,11.000000,0.000000,1.000000,1.000000,0.000000,2.000000,32.000000,9.670000,6.740000,4.830000,3.360000,4.850000,9.130000,10.510000,9.430000,7.830000,6.760000,9.300000,5.950000,7.280000,5.500000,8.700000,6.410000,6.310000,6.810000,3.260000,12.120000,0.000000,2.040000,3.450000,7.750000,0.000000,7.140000,3.700000,0.000000,6.670000,8.960000
,113.000000,12,352,MAPC,2014,33741.000000,1756.000000,5.200000,19387.000000,3663.000000,4093.000000,5747.000000,231.000000,557.000000,824.000000,314.000000,248.000000,329.000000,11.000000,28.000000,4.250000,8.570000,6.060000,5.720000,4.760000,5.030000,482.000000,1571.000000,3286.000000,13924.000000,124.000000,432.000000,871.000000,1330.000000,983.000000,47.000000,269.000000,340.000000,431.000000,3032.000000,21.000000,1747.000000,1511.000000,1433.000000,964.000000,92.000000,21.000000,47.000000,46.000000,114.000000,3.000000,18.000000,20.000000,20.000000,46.000000,414.000000,34.000000,12,185.000000,482.000000,10.000000,46.000000,79.000000,108.000000,75.000000,6.000000,22.000000,19.000000,29.000000,173.000000,5.000000,89.000000,90.000000,96.000000,47.000000,7.000000,0.000000,2.000000,2.000000,7.000000,0.000000,0.000000,0.000000,2.000000,3.000000,23.000000,7.050000,7.190000,5.630000,3.460000,8.060000,10.650000,9.070000,8.120000,7.630000,12.770000,8.180000,5.590000,6.730000,5.710000,23.810000,5.090000,5.960000,6.700000,4.880000,7.610000,0.000000,4.260000,4.350000,6.140000,0.000000,0.000000,0.000000,10.000000,6.520000,5.560000
,1044.000000,13,352,MAPC,2003-07,173460.000000,9246.000000,5.330000,113128.000000,17352.000000,15882.000000,22136.000000,4752.000000,210.000000,4912.000000,1755.000000,903.000000,1354.000000,311.000000,11.000000,4.340000,10.110000,5.690000,6.120000,6.540000,5.240000,4411.000000,17686.000000,10764.000000,80193.000000,74.000000,2260.000000,6116.000000,3238.000000,5722.000000,16.000000,1448.000000,2436.000000,994.000000,10986.000000,18.000000,7610.000000,8124.000000,2389.000000,4009.000000,4.000000,796.000000,1727.000000,551.000000,1666.000000,12.000000,9.000000,5.000000,6.000000,11.000000,179.000000,332.000000,13,519.000000,3005.000000,12.000000,249.000000,691.000000,323.000000,482.000000,10.000000,109.000000,147.000000,70.000000,577.000000,0.000000,456.000000,526.000000,159.000000,212.000000,1.000000,55.000000,133.000000,33.000000,90.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,7.530000,5.900000,4.820000,3.750000,16.220000,11.020000,11.300000,9.980000,8.420000,62.500000,7.530000,6.030000,7.040000,5.250000,0.000000,5.990000,6.470000,6.660000,5.290000,25.000000,6.910000,7.700000,5.990000,5.400000,0.000000,0.000000,0.000000,0.000000,9.090000,5.590000
,1037.000000,14,352,MAPC,2005-09,171742.000000,9343.000000,5.440000,108765.000000,18123.000000,16782.000000,23232.000000,4601.000000,239.000000,4821.000000,1774.000000,971.000000,1467.000000,297.000000,13.000000,4.430000,9.790000,5.790000,6.310000,6.460000,5.440000,4406.000000,16782.000000,10584.000000,76918.000000,75.000000,2374.000000,6465.000000,3269.000000,5992.000000,23.000000,1223.000000,2433.000000,926.000000,12178.000000,22.000000,8047.000000,8372.000000,2524.000000,4284.000000,5.000000,789.000000,1670.000000,512.000000,1617.000000,13.000000,8.000000,5.000000,6.000000,17.000000,203.000000,313.000000,14,524.000000,2937.000000,10.000000,258.000000,673.000000,323.000000,509.000000,11.000000,97.000000,156.000000,71.000000,646.000000,1.000000,483.000000,585.000000,177.000000,219.000000,3.000000,61.000000,118.000000,28.000000,90.000000,0.000000,0.000000,0.000000,0.000000,2.000000,11.000000,7.100000,6.180000,4.950000,3.820000,13.330000,10.870000,10.410000,9.880000,8.490000,47.830000,7.930000,6.410000,7.670000,5.300000,4.550000,6.000000,6.990000,7.010000,5.110000,60.000000,7.730000,7.070000,5.470000,5.570000,0.000000,0.000000,0.000000,0.000000,11.760000,5.420000
,668.000000,15,352,MAPC,2010-14,167674.000000,8853.000000,5.280000,98415.000000,18753.000000,19207.000000,27758.000000,1738.000000,1460.000000,4183.000000,1651.000000,1123.000000,1688.000000,109.000000,83.000000,4.250000,8.800000,5.850000,6.080000,6.270000,5.680000,2788.000000,10575.000000,14844.000000,69807.000000,399.000000,2397.000000,5132.000000,6120.000000,4933.000000,171.000000,1337.000000,1987.000000,1884.000000,13909.000000,90.000000,8725.000000,8134.000000,5714.000000,4476.000000,708.000000,202.000000,403.000000,328.000000,780.000000,25.000000,47.000000,80.000000,73.000000,132.000000,998.000000,226.000000,15,761.000000,2502.000000,26.000000,232.000000,482.000000,565.000000,355.000000,17.000000,91.000000,128.000000,118.000000,777.000000,9.000000,521.000000,527.000000,389.000000,196.000000,55.000000,16.000000,28.000000,19.000000,46.000000,0.000000,2.000000,3.000000,6.000000,9.000000,63.000000,8.110000,6.320000,5.130000,3.580000,6.520000,9.680000,9.390000,9.230000,7.200000,9.940000,6.810000,6.440000,6.260000,5.590000,10.000000,5.970000,6.480000,6.810000,4.380000,7.770000,7.920000,6.950000,5.790000,5.900000,0.000000,4.260000,3.750000,8.220000,6.820000,6.310000
